Period,Trade Flow,Reporter,Partner,2nd Partner,Customs Desc,Transport Mode,Commodity Code,Trade Value (US$),Net Weight(kg),Gross Weight,Qty Unit,Qty,Alternate Quantity unit,Alternate Quantity
2018,X,Russian Federation,World,World,TOTAL CPC,TOTAL MOT,854239,"$19,585,492",19702,,u,799860181,u,799860181
2018,X,Rwanda,World,World,TOTAL CPC,TOTAL MOT,854239,"$2,559",3600,,kg,3600,kg,3600
2018,X,Saint Vincent and the Grenadines,World,World,TOTAL CPC,TOTAL MOT,854239,$388,2,,kg,2,kg,2
2018,X,Saudi Arabia,World,World,TOTAL CPC,TOTAL MOT,854239,"$6,094,177",23759,,N/A,,N/A,
2018,X,"Other Asia, nes",World,World,TOTAL CPC,TOTAL MOT,854290,"$95,002,600",1140610,,kg,1140610,N/A,
2018,X,Rep. of Moldova,World,World,TOTAL CPC,TOTAL MOT,854290,"$2,270",4,,kg,4,kg,4
2018,X,Montenegro,World,World,TOTAL CPC,TOTAL MOT,854290,$82,6,,kg,6,kg,6
2018,X,Morocco,World,World,TOTAL CPC,TOTAL MOT,854290,"$61,869",412,,kg,412,kg,412
2018,X,Oman,World,World,TOTAL CPC,TOTAL MOT,854290,"$21,906",5168,,kg,5168,kg,5168
2018,X,Namibia,World,World,TOTAL CPC,TOTAL MOT,854290,"$31,232",,,N/A,,N/A,
2018,X,Netherlands,World,World,TOTAL CPC,TOTAL MOT,854290,"$48,302,012",1715668,,kg,1715668,kg,1715668
2018,X,New Zealand,World,World,TOTAL CPC,TOTAL MOT,854290,"$404,700",,,kg,1189,N/A,
2018,X,Norway,World,World,TOTAL CPC,TOTAL MOT,854290,"$12,948,923",38197,,kg,38197,kg,38197
2018,X,Pakistan,World,World,TOTAL CPC,TOTAL MOT,854290,"$6,188",1430,,kg,1430,kg,1430
2018,X,Panama,World,World,TOTAL CPC,TOTAL MOT,854290,"$4,458,901",,217533,N/A,,N/A,
